image,x,y,r,g,b
id,3,3,255,0,0
id,3,4,255,0,0
id,3,5,255,0,0
id,3,6,255,255,255
id,3,7,255,255,255
id,3,8,255,255,255
id,3,9,255,255,255
id,3,10,255,255,255
id,4,1,255,0,0
id,4,2,255,0,0
id,4,3,255,0,0
id,4,4,255,0,0
id,4,5,255,0,0
id,4,6,255,255,255
id,4,7,255,255,255
id,4,8,255,255,255
id,4,9,255,255,255
id,4,10,255,255,255
id,5,1,255,0,0
id,5,2,255,0,0
id,5,3,255,0,0
id,5,4,255,0,0
id,5,5,255,0,0
id,5,6,255,255,255
id,5,7,255,255,255
id,5,8,255,255,255
id,5,9,255,255,255
id,5,10,255,255,255
id,6,1,255,0,0
id,6,2,255,0,0
id,6,3,255,0,0
id,6,4,255,0,0
id,6,5,255,0,0
id,6,6,255,255,255
id,6,7,255,255,255
id,6,8,255,255,255
id,6,9,255,255,255
id,6,10,255,255,255
id,7,1,255,0,0
id,7,2,255,0,0
id,7,3,255,0,0
id,7,4,255,0,0
id,7,5,255,0,0
id,7,6,255,255,255
id,7,7,255,255,255
id,7,8,255,255,255
id,7,9,255,255,255
id,7,10,255,255,255
id,8,1,255,0,0
id,8,2,255,0,0
id,8,3,255,0,0
id,8,4,255,0,0
id,8,5,255,0,0
id,8,6,255,255,255
id,8,7,255,255,255
id,8,8,255,255,255
id,8,9,255,255,255
id,8,10,255,255,255
id,9,1,255,0,0
id,9,2,255,0,0
id,9,3,255,0,0
id,9,4,255,0,0
id,9,5,255,0,0
id,9,6,255,255,255
id,9,7,255,255,255
id,9,8,255,255,255
id,9,9,255,255,255
id,9,10,255,255,255
id,10,1,255,0,0
id,10,2,255,0,0
id,10,3,255,0,0
id,10,4,255,0,0
id,10,5,255,0,0
id,10,6,255,255,255
id,10,7,255,255,255
id,10,8,255,255,255
id,10,9,255,255,255
id,10,10,255,255,255
fj,1,1,214,76,99
fj,1,2,1,33,105
fj,1,3,200,16,46
fj,1,4,1,33,105
fj,1,5,200,16,46
fj,1,6,98,181,229
fj,1,7,98,181,229
fj,1,8,98,181,229
fj,1,9,98,181,229
fj,1,10,98,181,229
fj,2,1,1,33,105
fj,2,2,214,76,99
fj,2,3,200,16,46
fj,2,4,200,16,46
fj,2,5,1,33,105
fj,2,6,98,181,229
fj,2,7,98,181,229
fj,2,8,98,181,229
fj,2,9,98,181,229
fj,2,10,98,181,229
fj,3,1,200,16,46
fj,3,2,200,16,46
fj,3,3,200,16,46
fj,3,4,200,16,46
fj,3,5,200,16,46
fj,3,6,98,181,229
fj,3,7,98,181,229
fj,3,8,98,181,229
fj,3,9,98,181,229
fj,3,10,98,181,229
fj,4,1,1,33,105
fj,4,2,255,255,255
fj,4,3,200,16,46
fj,4,4,241,195,202
fj,4,5,1,33,105
fj,4,6,98,181,229
fj,4,7,98,181,229
fj,4,8,98,181,229
fj,4,9,98,181,229
fj,4,10,98,181,229
fj,5,1,255,255,255
fj,5,2,1,33,105
fj,5,3,200,16,46
fj,5,4,1,33,105
fj,5,5,241,195,202
fj,5,6,98,181,229
fj,5,7,98,181,229
fj,5,8,98,181,229
fj,5,9,98,181,229
fj,5,10,98,181,229
fj,6,1,98,181,229
fj,6,2,98,181,229
fj,6,3,98,181,229
fj,6,4,98,181,229
fj,6,5,98,181,229
fj,6,6,98,181,229
fj,6,7,98,181,229
fj,6,8,98,181,229
fj,6,9,98,181,229
fj,6,10,98,181,229
fj,7,1,98,181,229
fj,7,2,98,181,229
fj,7,3,151,13,33
fj,7,4,151,13,33
fj,7,5,196,195,195
fj,7,6,151,13,33
fj,7,7,98,181,229
fj,7,8,98,181,229
fj,7,9,98,181,229
fj,7,10,98,181,229
fj,8,1,98,181,229
fj,8,2,98,181,229
fj,8,3,200,16,46
fj,8,4,200,16,46
fj,8,5,200,16,46
fj,8,6,200,16,46
fj,8,7,200,16,46
fj,8,8,151,13,33
fj,8,9,98,181,229
fj,8,10,98,181,229
fj,9,1,98,181,229
fj,9,2,98,181,229
fj,9,3,18,20,23
fj,9,4,18,20,23
fj,9,5,18,20,23
fj,9,6,18,20,23
fj,9,7,98,181,229
fj,9,8,98,181,229
fj,9,9,98,181,229
fj,9,10,98,181,229
fj,10,1,98,181,229
fj,10,2,98,181,229
fj,10,3,98,181,229
fj,10,4,98,181,229
fj,10,5,98,181,229
fj,10,6,98,181,229
fj,10,7,98,181,229
fj,10,8,98,181,229
fj,10,9,98,181,229
fj,10,10,98,181,229
zm,1,1,25,138,0
zm,1,2,25,138,0
zm,1,3,25,138,0
zm,1,4,25,138,0
zm,1,5,25,138,0
zm,1,6,25,138,0
zm,1,7,25,138,0
zm,1,8,25,138,0
zm,1,9,25,138,0
zm,1,10,25,138,0
zm,2,1,25,138,0
zm,2,2,25,138,0
zm,2,3,25,138,0
zm,2,4,25,138,0
zm,2,5,25,138,0
zm,2,6,25,138,0
zm,2,7,25,138,0
zm,2,8,25,138,0
zm,2,9,25,138,0
zm,2,10,25,138,0
zm,3,1,25,138,0
zm,3,2,25,138,0
zm,3,3,25,138,0
zm,3,4,25,138,0
zm,3,5,25,138,0
zm,3,6,25,138,0
zm,3,7,25,138,0
zm,3,8,25,138,0
zm,3,9,25,138,0
zm,3,10,25,138,0
zm,4,1,25,138,0
zm,4,2,25,138,0
zm,4,3,25,138,0
zm,4,4,25,138,0
zm,4,5,25,138,0
zm,4,6,25,138,0
zm,4,7,25,138,0
zm,4,8,25,138,0
zm,4,9,25,138,0
zm,4,10,25,138,0
zm,5,1,25,138,0
zm,5,2,25,138,0
zm,5,3,25,138,0
zm,5,4,25,138,0
zm,5,5,25,138,0
zm,5,6,25,138,0
zm,5,7,25,138,0
zm,5,8,25,138,0
zm,5,9,25,138,0
zm,5,10,25,138,0
zm,6,1,25,138,0
zm,6,2,25,138,0
zm,6,3,25,138,0
zm,6,4,25,138,0
zm,6,5,25,138,0
zm,6,6,25,138,0
zm,6,7,25,138,0
zm,6,8,25,138,0
zm,6,9,25,138,0
zm,6,10,25,138,0
zm,7,1,25,138,0
zm,7,2,25,138,0
zm,7,3,25,138,0
zm,7,4,25,138,0
zm,7,5,222,32,16
zm,7,6,222,32,16
zm,7,7,222,32,16
zm,7,8,222,32,16
zm,7,9,222,32,16
zm,7,10,222,32,16
zm,8,1,25,138,0
zm,8,2,120,67,0
zm,8,3,25,138,0
zm,8,4,25,138,0
zm,8,5,222,32,16
zm,8,6,222,32,16
zm,8,7,222,32,16
zm,8,8,222,32,16
zm,8,9,222,32,16
zm,8,10,222,32,16
zm,9,1,25,138,0
zm,9,2,120,67,0
zm,9,3,25,138,0
zm,9,4,25,138,0
zm,9,5,0,0,0
zm,9,6,0,0,0
zm,9,7,0,0,0
zm,9,8,0,0,0
zm,9,9,0,0,0
zm,9,10,0,0,0
zm,10,1,25,138,0
zm,10,2,239,125,0
zm,10,3,25,138,0
zm,10,4,25,138,0
zm,10,5,239,125,0
zm,10,6,239,125,0
zm,10,7,239,125,0
zm,10,8,239,125,0
zm,10,9,239,125,0
zm,10,10,239,125,0
im,1,1,207,20,43
im,1,2,207,20,43
im,1,3,207,20,43
im,1,4,207,20,43
im,1,5,207,20,43
im,1,6,207,20,43
im,1,7,207,20,43
im,1,8,207,20,43
im,1,9,207,20,43
im,1,10,207,20,43
im,2,1,207,20,43
im,2,2,207,20,43
im,2,3,207,20,43
im,2,4,207,20,43
im,2,5,207,20,43
im,2,6,207,20,43
im,2,7,207,20,43
im,2,8,207,20,43
im,2,9,207,20,43
im,2,10,207,20,43
im,3,1,207,20,43
im,3,2,207,20,43
im,3,3,207,20,43
im,3,4,207,20,43
im,3,5,207,20,43
im,3,6,207,20,43
im,3,7,207,20,43
im,3,8,207,20,43
im,3,9,207,20,43
im,3,10,207,20,43
im,4,1,207,20,43
im,4,2,207,20,43
im,4,3,207,20,43
im,4,4,224,224,224
im,4,5,207,20,43
im,4,6,207,20,43
im,4,7,207,20,43
im,4,8,207,20,43
im,4,9,207,20,43
im,4,10,207,20,43
im,5,1,207,20,43
im,5,2,207,20,43
im,5,3,207,20,43
im,5,4,232,232,232
im,5,5,207,20,43
im,5,6,255,255,255
im,5,7,206,206,206
im,5,8,207,20,43
im,5,9,207,20,43
im,5,10,207,20,43
im,6,1,207,20,43
im,6,2,207,20,43
im,6,3,207,20,43
im,6,4,207,20,43
im,6,5,207,20,43
im,6,6,255,255,255
im,6,7,207,20,43
im,6,8,207,20,43
im,6,9,207,20,43
im,6,10,207,20,43
im,7,1,207,20,43
im,7,2,207,20,43
im,7,3,207,20,43
im,7,4,207,20,43
im,7,5,207,20,43
im,7,6,207,20,43
im,7,7,207,20,43
im,7,8,207,20,43
im,7,9,207,20,43
im,7,10,207,20,43
im,8,1,207,20,43
im,8,2,207,20,43
im,8,3,207,20,43
im,8,4,207,20,43
im,8,5,207,20,43
im,8,6,207,20,43
im,8,7,207,20,43
im,8,8,207,20,43
im,8,9,207,20,43
im,8,10,207,20,43
im,9,1,207,20,43
im,9,2,207,20,43
im,9,3,207,20,43
im,9,4,207,20,43
im,9,5,207,20,43
im,9,6,207,20,43
im,9,7,207,20,43
im,9,8,207,20,43
im,9,9,207,20,43
im,9,10,207,20,43
im,10,1,207,20,43
im,10,2,207,20,43
im,10,3,207,20,43
im,10,4,207,20,43
im,10,5,207,20,43
im,10,6,207,20,43
im,10,7,207,20,43
im,10,8,207,20,43
im,10,9,207,20,43
im,10,10,207,20,43
il,1,1,255,255,255
il,1,2,0,56,184
il,1,3,191,205,237
il,1,4,255,255,255
il,1,5,255,255,255
il,1,6,255,255,255
il,1,7,255,255,255
il,1,8,191,205,237
il,1,9,0,56,184
il,1,10,255,255,255
il,2,1,255,255,255
il,2,2,0,56,184
il,2,3,191,205,237
il,2,4,255,255,255
il,2,5,255,255,255
il,2,6,255,255,255
il,2,7,255,255,255
il,2,8,191,205,237
il,2,9,0,56,184
il,2,10,255,255,255
il,3,1,255,255,255
il,3,2,0,56,184
il,3,3,191,205,237
il,3,4,255,255,255
il,3,5,255,255,255
il,3,6,255,255,255
il,3,7,255,255,255
il,3,8,191,205,237
il,3,9,0,56,184
il,3,10,255,255,255
il,4,1,255,255,255
il,4,2,0,56,184
il,4,3,191,205,237
il,4,4,255,255,255
il,4,5,255,255,255
il,4,6,255,255,255
il,4,7,255,255,255
il,4,8,191,205,237
il,4,9,0,56,184
il,4,10,255,255,255
il,5,1,255,255,255
il,5,2,0,56,184
il,5,3,191,205,237
il,5,4,255,255,255
il,5,5,0,56,184
il,5,6,0,56,184
il,5,7,255,255,255
il,5,8,191,205,237
il,5,9,0,56,184
il,5,10,255,255,255
il,6,1,255,255,255
il,6,2,0,56,184
il,6,3,191,205,237
il,6,4,255,255,255
il,6,5,0,56,184
il,6,6,0,56,184
il,6,7,255,255,255
il,6,8,191,205,237
il,6,9,0,56,184
il,6,10,255,255,255
il,7,1,255,255,255
il,7,2,0,56,184
il,7,3,191,205,237
il,7,4,255,255,255
il,7,5,255,255,255
il,7,6,255,255,255
il,7,7,255,255,255
il,7,8,191,205,237
il,7,9,0,56,184
il,7,10,255,255,255
il,8,1,255,255,255
il,8,2,0,56,184
il,8,3,191,205,237
il,8,4,255,255,255
il,8,5,255,255,255
il,8,6,255,255,255
il,8,7,255,255,255
il,8,8,191,205,237
il,8,9,0,56,184
il,8,10,255,255,255
il,9,1,255,255,255
il,9,2,0,56,184
il,9,3,191,205,237
il,9,4,255,255,255
il,9,5,255,255,255
il,9,6,255,255,255
il,9,7,255,255,255
il,9,8,191,205,237
il,9,9,0,56,184
il,9,10,255,255,255
il,10,1,255,255,255
il,10,2,0,56,184
il,10,3,191,205,237
il,10,4,255,255,255
il,10,5,255,255,255
il,10,6,255,255,255
il,10,7,255,255,255
il,10,8,191,205,237
il,10,9,0,56,184
il,10,10,255,255,255
gu,1,1,0,41,123
gu,1,2,0,41,123
gu,1,3,0,41,123
gu,1,4,0,41,123
gu,1,5,0,41,123
gu,1,6,0,41,123
gu,1,7,0,41,123
gu,1,8,0,41,123
gu,1,9,0,41,123
gu,1,10,0,41,123
gu,2,1,0,41,123
gu,2,2,0,41,123
gu,2,3,0,41,123
gu,2,4,0,41,123
gu,2,5,0,41,123
gu,2,6,0,41,123
gu,2,7,0,41,123
gu,2,8,0,41,123
gu,2,9,0,41,123
gu,2,10,0,41,123
gu,3,1,0,41,123
gu,3,2,0,41,123
gu,3,3,0,41,123
gu,3,4,0,41,123
gu,3,5,0,41,123
gu,3,6,0,41,123
gu,3,7,0,41,123
gu,3,8,0,41,123
gu,3,9,0,41,123
gu,3,10,0,41,123
gu,4,1,0,41,123
gu,4,2,0,41,123
gu,4,3,0,41,123
gu,4,4,0,41,123
gu,4,5,0,41,123
gu,4,6,0,41,123
gu,4,7,0,41,123
gu,4,8,0,41,123
gu,4,9,0,41,123
gu,4,10,0,41,123
gu,5,1,0,41,123
gu,5,2,0,41,123
gu,5,3,0,41,123
gu,5,4,146,219,252
gu,5,5,146,219,252
gu,5,6,146,219,252
gu,5,7,255,222,82
gu,5,8,0,41,123
gu,5,9,0,41,123
gu,5,10,0,41,123
gu,6,1,0,41,123
gu,6,2,0,41,123
gu,6,3,0,41,123
gu,6,4,146,219,252
gu,6,5,146,219,252
gu,6,6,146,219,252
gu,6,7,255,222,82
gu,6,8,0,41,123
gu,6,9,0,41,123
gu,6,10,0,41,123
gu,7,1,0,41,123
gu,7,2,0,41,123
gu,7,3,0,41,123
gu,7,4,0,41,123
gu,7,5,0,41,123
gu,7,6,0,41,123
gu,7,7,0,41,123
gu,7,8,0,41,123
gu,7,9,0,41,123
gu,7,10,0,41,123
gu,8,1,0,41,123
gu,8,2,0,41,123
gu,8,3,0,41,123
gu,8,4,0,41,123
gu,8,5,0,41,123
gu,8,6,0,41,123
gu,8,7,0,41,123
gu,8,8,0,41,123
gu,8,9,0,41,123
gu,8,10,0,41,123
gu,9,1,0,41,123
gu,9,2,0,41,123
gu,9,3,0,41,123
gu,9,4,0,41,123
gu,9,5,0,41,123
gu,9,6,0,41,123
gu,9,7,0,41,123
gu,9,8,0,41,123
gu,9,9,0,41,123
gu,9,10,0,41,123
gu,10,1,0,41,123
gu,10,2,0,41,123
gu,10,3,0,41,123
gu,10,4,0,41,123
gu,10,5,0,41,123
gu,10,6,0,41,123
gu,10,7,0,41,123
gu,10,8,0,41,123
gu,10,9,0,41,123
gu,10,10,0,41,123
tt,1,1,255,255,255
tt,1,2,218,26,53
tt,1,3,218,26,53
tt,1,4,218,26,53
tt,1,5,218,26,53
tt,1,6,218,26,53
tt,1,7,218,26,53
tt,1,8,218,26,53
tt,1,9,218,26,53
tt,1,10,218,26,53
tt,2,1,0,0,0
tt,2,2,251,245,245
tt,2,3,218,26,53
tt,2,4,218,26,53
tt,2,5,218,26,53
tt,2,6,218,26,53
tt,2,7,218,26,53
tt,2,8,218,26,53
tt,2,9,218,26,53
tt,2,10,218,26,53
tt,3,1,0,0,0
tt,3,2,0,0,0
tt,3,3,0,0,0
tt,3,4,255,255,255
tt,3,5,218,26,53
tt,3,6,218,26,53
tt,3,7,218,26,53
tt,3,8,218,26,53
tt,3,9,218,26,53
tt,3,10,218,26,53
tt,4,1,218,26,53
tt,4,2,0,0,0
tt,4,3,0,0,0
tt,4,4,0,0,0
tt,4,5,255,255,255
tt,4,6,218,26,53
tt,4,7,218,26,53
tt,4,8,218,26,53
tt,4,9,218,26,53
tt,4,10,218,26,53
tt,5,1,218,26,53
tt,5,2,218,26,53
tt,5,3,255,255,255
tt,5,4,0,0,0
tt,5,5,0,0,0
tt,5,6,0,0,0
tt,5,7,249,217,222
tt,5,8,218,26,53
tt,5,9,218,26,53
tt,5,10,218,26,53
tt,6,1,218,26,53
tt,6,2,218,26,53
tt,6,3,218,26,53
tt,6,4,223,57,80
tt,6,5,0,0,0
tt,6,6,0,0,0
tt,6,7,0,0,0
tt,6,8,255,255,255
tt,6,9,218,26,53
tt,6,10,218,26,53
tt,7,1,218,26,53
tt,7,2,218,26,53
tt,7,3,218,26,53
tt,7,4,218,26,53
tt,7,5,218,26,53
tt,7,6,255,255,255
tt,7,7,0,0,0
tt,7,8,0,0,0
tt,7,9,0,0,0
tt,7,10,218,26,53
tt,8,1,218,26,53
tt,8,2,218,26,53
tt,8,3,218,26,53
tt,8,4,218,26,53
tt,8,5,218,26,53
tt,8,6,218,26,53
tt,8,7,255,255,255
tt,8,8,0,0,0
tt,8,9,0,0,0
tt,8,10,0,0,0
tt,9,1,218,26,53
tt,9,2,218,26,53
tt,9,3,218,26,53
tt,9,4,218,26,53
tt,9,5,218,26,53
tt,9,6,218,26,53
tt,9,7,218,26,53
tt,9,8,218,26,53
tt,9,9,255,255,255
tt,9,10,0,0,0
tt,10,1,218,26,53
tt,10,2,218,26,53
tt,10,3,218,26,53
tt,10,4,218,26,53
tt,10,5,218,26,53
tt,10,6,218,26,53
tt,10,7,218,26,53
tt,10,8,218,26,53
tt,10,9,218,26,53
tt,10,10,255,255,255
pm,1,1,8,103,47
pm,1,2,255,255,255
pm,1,3,8,103,47
pm,1,4,255,255,255
pm,1,5,255,255,255
pm,1,6,255,255,255
pm,1,7,216,218,218
pm,1,8,255,207,0
pm,1,9,234,185,0
pm,1,10,184,58,1
pm,2,1,255,255,255
pm,2,2,255,255,255
pm,2,3,255,255,255
pm,2,4,255,255,255
pm,2,5,255,255,255
pm,2,6,255,255,255
pm,2,7,255,255,255
pm,2,8,252,203,0
pm,2,9,246,198,0
pm,2,10,188,39,0
pm,3,1,8,103,47
pm,3,2,255,255,255
pm,3,3,204,0,0
pm,3,4,255,255,255
pm,3,5,255,255,255
pm,3,6,255,255,255
pm,3,7,255,255,255
pm,3,8,204,0,0
pm,3,9,204,0,0
pm,3,10,204,0,0
pm,4,1,0,146,200
pm,4,2,0,146,200
pm,4,3,0,146,200
pm,4,4,0,146,200
pm,4,5,0,146,200
pm,4,6,74,61,6
pm,4,7,0,146,200
pm,4,8,86,182,218
pm,4,9,0,145,200
pm,4,10,255,255,255
pm,5,1,0,146,200
pm,5,2,154,124,1
pm,5,3,255,207,0
pm,5,4,255,207,0
pm,5,5,255,207,0
pm,5,6,255,207,0
pm,5,7,255,207,0
pm,5,8,255,255,255
pm,5,9,0,145,200
pm,5,10,0,145,200
pm,6,1,0,146,200
pm,6,2,0,146,200
pm,6,3,0,146,200
pm,6,4,255,207,0
pm,6,5,255,207,0
pm,6,6,0,146,200
pm,6,7,255,207,0
pm,6,8,255,255,255
pm,6,9,189,226,241
pm,6,10,0,145,200
pm,7,1,0,146,200
pm,7,2,0,0,0
pm,7,3,173,141,0
pm,7,4,255,207,0
pm,7,5,43,38,5
pm,7,6,164,132,1
pm,7,7,227,180,0
pm,7,8,213,237,246
pm,7,9,239,247,250
pm,7,10,213,237,246
pm,8,1,0,146,200
pm,8,2,164,132,1
pm,8,3,255,207,0
pm,8,4,255,207,0
pm,8,5,255,207,0
pm,8,6,0,140,192
pm,8,7,255,207,0
pm,8,8,0,145,200
pm,8,9,0,145,200
pm,8,10,255,255,255
pm,9,1,0,146,200
pm,9,2,0,146,200
pm,9,3,0,146,200
pm,9,4,255,207,0
pm,9,5,0,0,0
pm,9,6,86,70,1
pm,9,7,0,146,200
pm,9,8,0,146,200
pm,9,9,0,145,200
pm,9,10,0,145,200
pm,10,1,0,146,200
pm,10,2,0,146,200
pm,10,3,0,146,200
pm,10,4,0,146,200
pm,10,5,0,146,200
pm,10,6,0,146,200
pm,10,7,0,146,200
pm,10,8,255,255,255
pm,10,9,0,145,200
pm,10,10,0,145,200
nz,1,1,215,78,101
nz,1,2,1,33,105
nz,1,3,200,16,46
nz,1,4,1,33,105
nz,1,5,200,16,46
nz,1,6,1,33,105
nz,1,7,1,33,105
nz,1,8,1,33,105
nz,1,9,1,33,105
nz,1,10,1,33,105
nz,2,1,1,33,105
nz,2,2,215,78,101
nz,2,3,200,16,46
nz,2,4,200,16,46
nz,2,5,1,33,105
nz,2,6,1,33,105
nz,2,7,1,33,105
nz,2,8,1,33,105
nz,2,9,1,33,105
nz,2,10,1,33,105
nz,3,1,200,16,46
nz,3,2,200,16,46
nz,3,3,200,16,46
nz,3,4,200,16,46
nz,3,5,200,16,46
nz,3,6,1,33,105
nz,3,7,1,33,105
nz,3,8,1,33,105
nz,3,9,1,33,105
nz,3,10,1,33,105
nz,4,1,1,33,105
nz,4,2,255,255,255
nz,4,3,200,16,46
nz,4,4,241,195,202
nz,4,5,1,33,105
nz,4,6,1,33,105
nz,4,7,1,33,105
nz,4,8,1,33,105
nz,4,9,1,33,105
nz,4,10,1,33,105
nz,5,1,255,255,255
nz,5,2,1,33,105
nz,5,3,200,16,46
nz,5,4,1,33,105
nz,5,5,241,195,202
nz,5,6,1,33,105
nz,5,7,1,33,105
nz,5,8,1,33,105
nz,5,9,1,33,105
nz,5,10,1,33,105
nz,6,1,1,33,105
nz,6,2,1,33,105
nz,6,3,1,33,105
nz,6,4,1,33,105
nz,6,5,1,33,105
nz,6,6,1,33,105
nz,6,7,1,33,105
nz,6,8,1,33,105
nz,6,9,1,33,105
nz,6,10,1,33,105
nz,7,1,1,33,105
nz,7,2,1,33,105
nz,7,3,1,33,105
nz,7,4,1,33,105
nz,7,5,51,76,135
nz,7,6,1,33,105
nz,7,7,1,33,105
nz,7,8,1,33,105
nz,7,9,1,33,105
nz,7,10,1,33,105
nz,8,1,1,33,105
nz,8,2,234,160,172
nz,8,3,1,33,105
nz,8,4,1,33,105
nz,8,5,1,33,105
nz,8,6,1,33,105
nz,8,7,1,33,105
nz,8,8,207,45,72
nz,8,9,1,33,105
nz,8,10,1,33,105
nz,9,1,1,33,105
nz,9,2,1,33,105
nz,9,3,1,33,105
nz,9,4,200,16,46
nz,9,5,1,33,105
nz,9,6,1,33,105
nz,9,7,1,33,105
nz,9,8,1,33,105
nz,9,9,1,33,105
nz,9,10,1,33,105
nz,10,1,1,33,105
nz,10,2,1,33,105
nz,10,3,1,33,105
nz,10,4,1,33,105
nz,10,5,1,33,105
nz,10,6,1,33,105
nz,10,7,1,33,105
nz,10,8,1,33,105
nz,10,9,1,33,105
nz,10,10,1,33,105
ms,1,1,214,76,98
ms,1,2,1,33,105
ms,1,3,200,16,46
ms,1,4,1,33,105
ms,1,5,200,16,46
ms,1,6,1,33,105
ms,1,7,1,33,105
ms,1,8,1,33,105
ms,1,9,1,33,105
ms,1,10,1,33,105
ms,2,1,1,33,105
ms,2,2,214,76,98
ms,2,3,200,16,46
ms,2,4,200,16,46
ms,2,5,1,33,105
ms,2,6,1,33,105
ms,2,7,1,33,105
ms,2,8,1,33,105
ms,2,9,1,33,105
ms,2,10,1,33,105
ms,3,1,200,16,46
ms,3,2,200,16,46
ms,3,3,200,16,46
ms,3,4,200,16,46
ms,3,5,200,16,46
ms,3,6,1,33,105
ms,3,7,1,33,105
ms,3,8,1,33,105
ms,3,9,1,33,105
ms,3,10,1,33,105
ms,4,1,1,33,105
ms,4,2,255,255,255
ms,4,3,200,16,46
ms,4,4,242,197,203
ms,4,5,1,33,105
ms,4,6,1,33,105
ms,4,7,1,33,105
ms,4,8,1,33,105
ms,4,9,1,33,105
ms,4,10,1,33,105
ms,5,1,255,255,255
ms,5,2,1,33,105
ms,5,3,200,16,46
ms,5,4,1,33,105
ms,5,5,242,197,203
ms,5,6,1,33,105
ms,5,7,1,33,105
ms,5,8,1,33,105
ms,5,9,1,33,105
ms,5,10,1,33,105
ms,6,1,1,33,105
ms,6,2,1,33,105
ms,6,3,1,33,105
ms,6,4,1,33,105
ms,6,5,1,33,105
ms,6,6,1,33,105
ms,6,7,1,33,105
ms,6,8,1,33,105
ms,6,9,1,33,105
ms,6,10,1,33,105
ms,7,1,1,33,105
ms,7,2,1,33,105
ms,7,3,129,155,158
ms,7,4,0,162,189
ms,7,5,0,162,189
ms,7,6,0,162,189
ms,7,7,161,174,194
ms,7,8,1,33,105
ms,7,9,1,33,105
ms,7,10,1,33,105
ms,8,1,1,33,105
ms,8,2,1,33,105
ms,8,3,129,155,158
ms,8,4,0,0,0
ms,8,5,0,0,0
ms,8,6,94,55,5
ms,8,7,122,129,29
ms,8,8,165,61,8
ms,8,9,1,33,105
ms,8,10,1,33,105
ms,9,1,1,33,105
ms,9,2,1,33,105
ms,9,3,220,223,231
ms,9,4,148,169,172
ms,9,5,148,169,172
ms,9,6,161,174,194
ms,9,7,1,33,105
ms,9,8,1,33,105
ms,9,9,1,33,105
ms,9,10,1,33,105
ms,10,1,1,33,105
ms,10,2,1,33,105
ms,10,3,1,33,105
ms,10,4,1,33,105
ms,10,5,1,33,105
ms,10,6,1,33,105
ms,10,7,1,33,105
ms,10,8,1,33,105
ms,10,9,1,33,105
ms,10,10,1,33,105
kr,1,1,255,255,255
kr,1,2,255,255,255
kr,1,3,255,255,255
kr,1,4,255,255,255
kr,1,5,255,255,255
kr,1,6,255,255,255
kr,1,7,255,255,255
kr,1,8,255,255,255
kr,1,9,255,255,255
kr,1,10,255,255,255
kr,2,1,255,255,255
kr,2,2,255,255,255
kr,2,3,255,255,255
kr,2,4,255,255,255
kr,2,5,255,255,255
kr,2,6,255,255,255
kr,2,7,255,255,255
kr,2,8,255,255,255
kr,2,9,255,255,255
kr,2,10,255,255,255
kr,3,1,255,255,255
kr,3,2,6,6,6
kr,3,3,0,0,0
kr,3,4,0,0,0
kr,3,5,255,255,255
kr,3,6,255,255,255
kr,3,7,0,0,0
kr,3,8,255,255,255
kr,3,9,6,6,6
kr,3,10,255,255,255
kr,4,1,255,255,255
kr,4,2,255,255,255
kr,4,3,255,255,255
kr,4,4,255,255,255
kr,4,5,205,46,58
kr,4,6,0,71,160
kr,4,7,255,255,255
kr,4,8,255,255,255
kr,4,9,255,255,255
kr,4,10,255,255,255
kr,5,1,255,255,255
kr,5,2,255,255,255
kr,5,3,255,255,255
kr,5,4,205,46,58
kr,5,5,205,46,58
kr,5,6,55,64,133
kr,5,7,0,71,160
kr,5,8,255,255,255
kr,5,9,255,255,255
kr,5,10,255,255,255
kr,6,1,255,255,255
kr,6,2,255,255,255
kr,6,3,255,255,255
kr,6,4,205,46,58
kr,6,5,55,64,133
kr,6,6,0,71,160
kr,6,7,0,71,160
kr,6,8,255,255,255
kr,6,9,255,255,255
kr,6,10,255,255,255
kr,7,1,255,255,255
kr,7,2,255,255,255
kr,7,3,255,255,255
kr,7,4,255,255,255
kr,7,5,205,46,58
kr,7,6,109,57,106
kr,7,7,255,255,255
kr,7,8,255,255,255
kr,7,9,255,255,255
kr,7,10,255,255,255
kr,8,1,255,255,255
kr,8,2,0,0,0
kr,8,3,0,0,0
kr,8,4,0,0,0
kr,8,5,255,255,255
kr,8,6,255,255,255
kr,8,7,0,0,0
kr,8,8,255,255,255
kr,8,9,0,0,0
kr,8,10,255,255,255
kr,9,1,255,255,255
kr,9,2,255,255,255
kr,9,3,255,255,255
kr,9,4,255,255,255
kr,9,5,255,255,255
kr,9,6,255,255,255
kr,9,7,255,255,255
kr,9,8,255,255,255
kr,9,9,255,255,255
kr,9,10,255,255,255
kr,10,1,255,255,255
kr,10,2,255,255,255
kr,10,3,255,255,255
kr,10,4,255,255,255
kr,10,5,255,255,255
kr,10,6,255,255,255
kr,10,7,255,255,255
kr,10,8,255,255,255
kr,10,9,255,255,255
kr,10,10,255,255,255
th,1,1,165,25,49
th,1,2,165,25,49
th,1,3,244,245,248
th,1,4,45,42,74
th,1,5,45,42,74
th,1,6,45,42,74
th,1,7,45,42,74
th,1,8,244,245,248
th,1,9,165,25,49
th,1,10,165,25,49
th,2,1,165,25,49
th,2,2,165,25,49
th,2,3,244,245,248
th,2,4,45,42,74
th,2,5,45,42,74
th,2,6,45,42,74
th,2,7,45,42,74
th,2,8,244,245,248
th,2,9,165,25,49
th,2,10,165,25,49
th,3,1,165,25,49
